nama_jalan;kecamatan;kelurahan;lat_centroid;lng_centroid;fungsi_jalan;panjang_m;lebar_m;competitor_cafe;competitor_fnb;competitor_laundry;competitor_gym;competitor_fashion;competitor_stationery;competitor_carwash;competitor_photostudio;competitor_barbershop;competitor_salon;competitor_bengkel;competitor_elektronik;demand_university;demand_college;demand_school;demand_office;demand_mall;demand_hospital;transit_bus_stop;transit_bus_station;transit_train_station;transit_public_transport;total_poi_asli;bobot_fungsi;traffic_score;transit_score;total_poi_imputed;total_poi;density_cafe;log_traffic;ratio_bengkel;poi_akademik;poi_komersial;poi_score_cafe;comp_ratio_cafe;poi_score_laundry;comp_ratio_laundry;poi_score_stationery;comp_ratio_stationery;poi_score_photostudio;comp_ratio_photostudio;poi_score_barbershop;comp_ratio_barbershop;poi_score_fnb;comp_ratio_fnb;poi_score_gym;comp_ratio_gym;poi_score_salon;comp_ratio_salon;poi_score_elektronik;comp_ratio_elektronik;poi_score_fashion;comp_ratio_fashion;poi_score_bengkel;comp_ratio_bengkel;poi_score_carwash;comp_ratio_carwash;total_competitor
Jl. Ketileng Indah 1;Tembalang;Sendangmulyo;-7,028695649;110,4699491;Kolektor Sekunder;425,91;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,133963044;0;0;0;0;8,133963044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Ketileng Indah Blok M;Tembalang;Sendangmulyo;-7,033899982;110,4729763;Kolektor Sekunder;237;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,54802897;0;0;0;0;7,54802897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Ketileng Indah Blok N;Tembalang;Sendangmulyo;-7,03425554;110,4729516;Kolektor Sekunder;177,04;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,969076129;0;0;0;0;6,969076129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Ketileng Kencana;Tembalang;Sendangmulyo;-7,032129866;110,472693;Kolektor Sekunder;285,59;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,734436352;0;0;0;0;7,734436352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Ketileng Puspita;Tembalang;Sendangmulyo;-7,033345163;110,4723576;Kolektor Sekunder;238,44;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,266575919;0;0;0;0;7,266575919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Klipang;Tembalang;Sendangmulyo;-7,043077908;110,479205;Kolektor Sekunder;2489,64;8;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;10,59250723;2,772588722;18;15,24923797;0,401664498;10,59250723;2,51034E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Klipang Golf;Tembalang;Sendangmulyo;-7,034230751;110,4794015;Kolektor Sekunder;949,6;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,935614011;2,772588722;18;15,24923797;1,053074979;8,935614011;0,000131617;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Klipang Lama;Tembalang;Meteseh;-7,054119865;110,4793121;Kolektor Sekunder;261,03;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,357033105;0;0;0;0;7,357033105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Klipang PDAM;Tembalang;Sendangmulyo;-7,041003346;110,4814148;Kolektor Sekunder;510,06;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,314214947;2,772588722;18;15,24923797;1,96055366;8,314214947;0,000245009;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Klipang Timur;Tembalang;Sendangmulyo;-7,048579571;110,4795578;Kolektor Sekunder;1318,75;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,976325441;2,772588722;18;15,24923797;0,758293839;8,976325441;0,000126366;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Kokosan;Tembalang;Sendangguwo;-7,009987409;110,4474336;Kolektor Sekunder;196,16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,071539408;0;0;0;0;7,071539408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Kol. H. Iman Soeparto Tjakrajoeda, SH;Tembalang;Bulusan;-7,058384881;110,4531657;Arteri Sekunder;4208,37;3,5;1,386294361;0,693147181;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;1,098612289;1,098612289;0,693147181;0;1,098612289;1;3;10,69622857;3,583518938;21;16,00805219;0,712865076;10,69622857;2,26301E-05;0,693147181;4,394449155;0,693147181;0,750854337;0,693147181;1,058242006;0,693147181;1,791759469;0,693147181;1,791759469;0,693147181;1,058242006;4,394449155;1,058242006;4,394449155;1,791759469;4,394449155;1,058242006;4,394449155;1,058242006;4,394449155;0,853782987;4,394449155;1,058242006;4,394449155;1,791759469;6,643789733
Jl. Kompol R. Soekanto;Tembalang;Mangunharjo;-7,040960088;110,4618446;Arteri Sekunder;4051,94;10;1,386294361;0,693147181;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0;1,098612289;1,098612289;0;0,693147181;1,098612289;0,693147181;0;1,098612289;3;3;11,70815667;3,583518938;21;16,00805219;0,740386087;11,70815667;8,22644E-06;1,098612289;3,988984047;1,098612289;0,750854337;1,098612289;1,058242006;1,098612289;1,791759469;1,098612289;1,791759469;1,098612289;1,058242006;3,988984047;1,058242006;3,988984047;1,791759469;3,988984047;1,058242006;3,988984047;1,058242006;3,988984047;0,853782987;3,988984047;1,058242006;3,988984047;1,791759469;6,643789733
Jl. Krajan;Tembalang;Rowosari;-7,059441625;110,4835162;Kolektor Sekunder;774,13;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;1;2;8,731342818;2,772588722;18;15,24923797;1,2917727;8,731342818;0,000161446;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Krasak;Tembalang;Rowosari;-7,060200209;110,4777876;Kolektor Sekunder;919,78;3,5;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,770199965;2,772588722;18;15,24923797;1,087216508;8,770199965;0,000155293;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Lembayung;Tembalang;Sendangguwo;-7,013293613;110,4514734;Kolektor Sekunder;276,15;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0;0;1;2;7,700838288;0;1;0,693147181;0;7,700838288;0;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0
Jl. Lobak;Tembalang;Sendangguwo;-7,011630531;110,4500487;Kolektor Sekunder;413,18;3;0;0,693147181;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0;0,693147181;0;0;0;0;3;2;7,816046097;0;3;2,079441542;0;7,816046097;0;0,693147181;0,693147181;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;0,818767782;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181;1,386294361;0,693147181
Jl. Lobak 2;Tembalang;Sendangguwo;-7,011870209;110,4507364;Kolektor Sekunder;253,41;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,48148246;0;0;0;0;7,48148246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Mangunharjo 1;Tembalang;Mangunharjo;-7,043755489;110,4600839;Kolektor Sekunder;1811,38;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;9,293695741;2,772588722;18;15,24923797;0,552065276;9,293695741;9,20024E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Muharom;Tembalang;Kedungmundu;-7,020960117;110,4715359;Kolektor Sekunder;270,06;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0,693147181;0;0,693147181;0;0;0;0;0;0;2;2;7,391020582;0;2;1,386294361;0;7,391020582;0;2,079441542;2,079441542;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;2,079441542;0;0
Jl. Mulawarman;Tembalang;Pedalangan;-7,066053633;110,4364205;Kolektor Sekunder;1399,51;6;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;9,728843647;2,772588722;18;15,24923797;0,714535802;9,728843647;5,95411E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Mulawarman 5;Tembalang;Kramas;-7,067284238;110,4385364;Kolektor Sekunder;265,96;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,663257348;0;0;0;0;7,663257348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Mulawarman Barat 2;Tembalang;Kramas;-7,06729951;110,4368603;Kolektor Sekunder;472,04;8;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;1;2;8,929784845;2,772588722;18;15,24923797;2,118464537;8,929784845;0,000132387;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Mundu Baru 3;Tembalang;Sambiroto;-7,028664891;110,4618044;Kolektor Sekunder;125,99;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6,916635731;0;0;0;0;6,916635731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Mundu Baru 4;Tembalang;Sambiroto;-7,029173973;110,4622389;Kolektor Sekunder;161,3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,16348218;0;0;0;0;7,16348218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Mundu Baru 7;Tembalang;Sambiroto;-7,028509037;110,4621652;Kolektor Sekunder;183,19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,003192723;0;0;0;0;7,003192723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Muntuksari;Tembalang;Rowosari;-7,072987954;110,4743701;Kolektor Sekunder;747,01;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,695687433;2,772588722;18;15,24923797;1,338670165;8,695687433;0,000167306;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Ngemplak;Tembalang;Tandang;-7,017641534;110,4485981;Kolektor Sekunder;222,42;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,48457087;0;0;0;0;7,48457087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Nilam;Tembalang;Sambiroto;-7,03101798;110,45991;Kolektor Sekunder;255,97;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,098612289;0;0;0;0;0;0;2;2;7,624990011;0;2;1,098612289;0;7,624990011;0;0;3,295836866;0;0;0;0;0;0;0;0;0;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;3,295836866;0;0
Jl. Pekuncen;Tembalang;Sendangmulyo;-7,04095539;110,482198;Kolektor Sekunder;856,22;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;1;2;8,544481457;2,772588722;18;15,24923797;1,167924132;8,544481457;0,000194616;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Pengkol;Tembalang;Rowosari;-7,074226604;110,4691459;Kolektor Sekunder;2125,26;5;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;9,964281572;2,772588722;18;15,24923797;0,470530664;9,964281572;4,70509E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Pengkol 1;Tembalang;Rowosari;-7,070317065;110,472343;Kolektor Sekunder;349,3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,648167652;0;0;0;0;7,648167652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Perum Dinar Mas;Tembalang;Meteseh;-7,060132074;110,4661346;Kolektor Sekunder;1463,49;12;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;1,098612289;0,693147181;0,693147181;0;0,693147181;2;2;10,46666157;2,772588722;19;15,65470308;0,683298143;10,46666157;2,84699E-05;0,693147181;3,17805383;0,693147181;1,058242006;0,693147181;1,058242006;0,693147181;1,058242006;0,693147181;1,058242006;0,693147181;1,058242006;3,17805383;1,058242006;3,17805383;1,058242006;3,17805383;1,058242006;3,17805383;1,058242006;3,17805383;1,058242006;3,17805383;1,058242006;3,17805383;1,058242006;8,317766167
Jl. Perum Diponegoro;Tembalang;Tembalang;-7,043483394;110,4421102;Kolektor Sekunder;973,15;4;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,960108215;2,772588722;18;15,24923797;1,027590813;8,960108215;0,000128432;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Perum Wana Mukti;Tembalang;Sambiroto;-7,029992036;110,4648528;Kolektor Sekunder;671,77;5;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,812649962;2,772588722;18;15,24923797;1,488604731;8,812649962;0,000148838;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Prof. H. S. Sudharto, SH;Tembalang;Sumurboto;-7,052306913;110,4294849;Arteri Sekunder;2343,26;8;1,386294361;1,098612289;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,386294361;0;1,098612289;1,098612289;0,693147181;0;1,098612289;11;3;10,93737001;3,583518938;23;16,70119937;1,280267661;10,93737001;1,77812E-05;0,693147181;5,257495372;0,693147181;0,750854337;0,693147181;1,058242006;0,693147181;1,791759469;0,693147181;1,791759469;0,693147181;1,058242006;5,257495372;0,853782987;5,257495372;1,791759469;5,257495372;1,058242006;5,257495372;1,058242006;5,257495372;0,853782987;5,257495372;1,058242006;5,257495372;1,791759469;7,049254841
Jl. Prof. Suharso;Tembalang;Mangunharjo;-7,04645115;110,4692037;Arteri Sekunder;2770,43;6;1,386294361;0,693147181;0,693147181;0;1,098612289;0;0;0;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;1,098612289;0;1,098612289;1,098612289;0,693147181;0;1,098612289;0;3;10,81714963;3,583518938;21;16,00805219;1,082864393;10,81714963;2,00526E-05;0,693147181;4,394449155;0,693147181;0,750854337;0,693147181;1,058242006;0,693147181;1,791759469;0,693147181;1,791759469;0,693147181;1,058242006;4,394449155;1,058242006;4,394449155;1,791759469;4,394449155;1,058242006;4,394449155;1,058242006;4,394449155;0,853782987;4,394449155;1,058242006;4,394449155;1,791759469;6,643789733
Jl. Rejosari;Tembalang;Meteseh;-7,068849878;110,4593196;Kolektor Sekunder;709,32;3;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,356301173;2,772588722;18;15,24923797;1,409800936;8,356301173;0,000234912;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Rejosari 2;Tembalang;Meteseh;-7,070571473;110,4621946;Kolektor Sekunder;249,47;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,465821295;0;0;0;0;7,465821295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Rogojembangan;Tembalang;Tandang;-7,013159378;110,4484331;Kolektor Sekunder;629,05;5;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;8,746954795;2,772588722;18;15,24923797;1,589698752;8,746954795;0,000158945;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Rowo Tengah;Tembalang;Rowosari;-7,063455689;110,4847693;Kolektor Sekunder;406,93;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8,088389853;0;0;0;0;8,088389853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jl. Rowo Tengah 5;Tembalang;Rowosari;-7,062416135;110,4830162;Kolektor Sekunder;432,04;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,098612289;0;0;0;0;0;0;0;2;2;7,860663338;0;2;1,098612289;0;7,860663338;0;1,098612289;0;1,098612289;1,098612289;1,098612289;1,098612289;1,098612289;1,098612289;1,098612289;1,098612289;1,098612289;1,098612289;0;1,098612289;0;1,098612289;0;1,098612289;0;1,098612289;0;1,098612289;0;1,098612289;0;1,098612289;0
Jl. Rowosari;Tembalang;Meteseh;-7,062699103;110,4723436;Kolektor Sekunder;1738,99;7;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;10,10015817;2,772588722;18;15,24923797;0,575046435;10,10015817;4,10731E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Rowosari Asri;Tembalang;Rowosari;-7,062707101;110,4777569;Kolektor Sekunder;2530,18;6;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;10,32098531;2,772588722;18;15,24923797;0,395228798;10,32098531;3,29346E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Rowosari Asri Selatan;Tembalang;Rowosari;-7,07238891;110,4805961;Kolektor Sekunder;793,75;8;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0,693147181;0;0;0,693147181;0,693147181;0;0,693147181;0,693147181;0,693147181;0;0,693147181;0;2;9,44943601;2,772588722;18;15,24923797;1,25984252;9,44943601;7,8734E-05;0,693147181;2,772588722;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;0,693147181;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;2,772588722;0,818767782;8,317766167
Jl. Salak;Tembalang;Sendangguwo;-7,010996837;110,4462801;Kolektor Sekunder;315,93;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7,547807543;0;0;0;0;7,547807543;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
